Date : 2024-04-23 23:43:01
Directory : /Users/dgee/Documents/blog/blog
Total : 252 files,  42565 codes, 5602 comments, 12005 blanks, all 60172 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/dgee/Documents/blog/blog/content/blog/2017/09/ghost2logger-design-part-one.md                                      | Markdown       |        237 |          0 |        106 |        343 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/cloud-native-upgrading-workflow-engine-orchestrator.md               | Markdown       |         26 |          0 |         11 |         37 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-engineer-persona-part-four.md                     | Markdown       |         31 |          0 |         19 |         50 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-engineer-persona-part-one.md                      | Markdown       |         33 |          0 |         18 |         51 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-engineer-persona-part-three.md                    | Markdown       |         56 |          0 |         37 |         93 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-engineer-persona-part-two.md                      | Markdown       |         25 |          0 |         13 |         38 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-engineer-persona-targeted-learning.md             | Markdown       |         31 |          0 |         19 |         50 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/10/network-automation-leaky-abstractions.md                             | Markdown       |         33 |          0 |         21 |         54 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/11/network-automation-engineer-persona-proof-of-concepts.md             | Markdown       |         48 |          0 |         27 |         75 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/12/christmas-support-story.md                                           | Markdown       |         25 |          0 |         13 |         38 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/02/automation-easy-button-vs-sentient-voodoo-magic-button.md            | Markdown       |         38 |          0 |         25 |         63 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/02/ubuntu-16-04-git-lfs-broken-install.md                               | Markdown       |         30 |          0 |          9 |         39 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/04/describing-network-automation-automate-coffee.md                     | Markdown       |         49 |          0 |         33 |         82 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/04/gofal.md                                                             | Markdown       |        148 |          0 |         48 |        196 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/04/juniper-jet-golang.md                                                | Markdown       |         26 |          0 |         13 |         39 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/05/configuring-ssl-grpc-junos.md                                        | Markdown       |        149 |          0 |         69 |        218 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/06/automation-for-reliability.md                                        | Markdown       |         18 |          0 |          6 |         24 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/06/automation-for-success.md                                            | Markdown       |         44 |          0 |         27 |         71 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/06/juniper-vqfx10k-esxi-6-5.md                                          | Markdown       |         72 |          0 |         29 |        101 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/07/inog-10-ripe-hackathon.md                                            | Markdown       |         34 |          0 |         27 |         61 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/08/gops-and-influx.md                                                   | Markdown       |         63 |          0 |         25 |         88 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/08/junos-kafka-influxdb-exporters.md                                    | Markdown       |         71 |          0 |         36 |        107 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/10/automation-flow-control-dimensionality.md                            | Markdown       |        125 |          0 |         63 |        188 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/10/yang-openapi-swagger-code-generation.md                              | Markdown       |        123 |          0 |         42 |        165 |
| /Users/dgee/Documents/blog/blog/content/blog/2018/12/xml-unmarshal-and-xpath.md                                           | Markdown       |        128 |          0 |         34 |        162 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/01/event-driven-automation-tldr-no-one-told.md                          | Markdown       |         36 |          0 |         20 |         56 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/01/nae-automation-time.md                                               | Markdown       |         22 |          0 |         10 |         32 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/01/nae-help-dealing-brain-block.md                                      | Markdown       |         25 |          0 |         13 |         38 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/02/automation-tools-vs-languages.md                                     | Markdown       |         47 |          0 |         19 |         66 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/02/code-not-code-expression-symbiosis.md                                | Markdown       |         32 |          0 |         19 |         51 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/04/iac-unit-tests-jsnapy-ansible.md                                     | Markdown       |        206 |          0 |         71 |        277 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/06/automation-workflow-patterns.md                                      | Markdown       |         66 |          0 |         29 |         95 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/07/leaving-comments-code-expressed-artefacts.md                         | Markdown       |         26 |          0 |         12 |         38 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/09/formalisation-automation-wip.md                                      | Markdown       |         20 |          0 |          6 |         26 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/09/opinionated-automation-packaged-extensible-closed-systems.md         | Markdown       |         19 |          0 |          7 |         26 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/09/replacing-network-element-config-system-git.md                       | Markdown       |         26 |          0 |         20 |         46 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/10/multiple-argument-functions.md                                       | Markdown       |         46 |          0 |         16 |         62 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/11/pt1-composition-in-network-service-meshes.md                         | Markdown       |         37 |          0 |         28 |         65 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/11/pt2-composition-in-network-service-meshes.md                         | Markdown       |         23 |          0 |         11 |         34 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/11/pt3-composition-in-network-service-meshes.md                         | Markdown       |         36 |          0 |         27 |         63 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/11/pt4-composition-in-network-service-meshes.md                         | Markdown       |         30 |          0 |         18 |         48 |
| /Users/dgee/Documents/blog/blog/content/blog/2019/11/signals-go-immutable-infrastructure.md                               | Markdown       |         86 |          0 |         37 |        123 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/02/natural-systems-vs-human-fallibility.md                              | Markdown       |         45 |          0 |         23 |         68 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/02/thoughts-on-complexity.md                                            | Markdown       |         68 |          0 |         51 |        119 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/06/example-terraform-provider.md                                        | Markdown       |         39 |          0 |         17 |         56 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/07/learning_vectors.md                                                  | Markdown       |         54 |          0 |         38 |         92 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/07/topological-care-in-automation.md                                    | Markdown       |         43 |          0 |         27 |         70 |
| /Users/dgee/Documents/blog/blog/content/blog/2020/12/10-12-2020-diary-entry.md                                            | Markdown       |         36 |          0 |         23 |         59 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/02/23-02-2021-graphops/index.md                                         | Markdown       |         94 |          0 |         69 |        163 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/04/28-04-2021-workflow-maturity/index.md                                | Markdown       |         26 |          0 |         13 |         39 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/05/16-05-2021-uijourney/index.md                                        | Markdown       |         46 |          0 |         19 |         65 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/05/17-05-2021-uijourney/index.md                                        | Markdown       |        106 |          0 |         49 |        155 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/05/24-05-2021-uijourney/index.md                                        | Markdown       |        429 |          0 |        142 |        571 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/06/30-06-2021-uijourney/index.md                                        | Markdown       |         85 |          0 |         39 |        124 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/07/14-07-2021-awsddb/index.md                                           | Markdown       |        162 |          0 |         57 |        219 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/07/26-07-2021-testing-spa/index.md                                      | Markdown       |         33 |          0 |         15 |         48 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/08/10-08-2021-bell-curve-architecture/index.md                          | Markdown       |         22 |          0 |         12 |         34 |
| /Users/dgee/Documents/blog/blog/content/blog/2021/11/index.md                                                             | Markdown       |         64 |          0 |         24 |         88 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/02/17-02-2022-webhooks/index.md                                         | Markdown       |         33 |          0 |         10 |         43 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/03/08-03-2022-buy-and-whine/index.md                                    | Markdown       |         41 |          0 |         31 |         72 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/03/16-03-2022-beg-forgiveness/index.md                                  | Markdown       |         47 |          0 |         14 |         61 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/03/18-03-2022-github-deploy-tokens-port-443/index.md                    | Markdown       |         55 |          0 |         18 |         73 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/03/23-03-2022-responsive-tailwind/index.md                              | Markdown       |         42 |          0 |         24 |         66 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/03/23-03-2022-responsive-tailwind/responsivewater.svg                   | XML            |         35 |          0 |          1 |         36 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/05/24-05-2022-cloud-ops/index.md                                        | Markdown       |         61 |          0 |         39 |        100 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/06/26-06-2022-aws-iam-ddb/index.md                                      | Markdown       |         57 |          0 |         20 |         77 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/04-07-2022-mobiscroll/index.md                                       | Markdown       |         73 |          0 |         34 |        107 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/06-07-2022-candytext/index.md                                        | Markdown       |         53 |          0 |         31 |         84 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/06-08-2022-ddbtools/index.md                                         | Markdown       |        122 |          0 |         40 |        162 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/20-07-2022-arangodb/airports.json                                    | JSON           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/20-07-2022-arangodb/flights.json                                     | JSON           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/07/20-07-2022-arangodb/index.md                                         | Markdown       |        331 |          0 |        117 |        448 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/08/02-08-2022-resetgit/index.md                                         | Markdown       |         33 |          0 |         15 |         48 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/08/04-08-2022-react_ix_js/index.md                                      | Markdown       |        147 |          0 |         35 |        182 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/08/15-08-2022-api-consumer-version-synchronicity/index.md               | Markdown       |         30 |          0 |         14 |         44 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/09/01-09-2022-aws-lambda-go-local/index.md                              | Markdown       |        163 |          0 |         64 |        227 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/10/25-10-2022-client-network-socket-disconnected/index.md               | Markdown       |         33 |          0 |         13 |         46 |
| /Users/dgee/Documents/blog/blog/content/blog/2022/11/01-11-2022-webhook-architecture/index.md                             | Markdown       |         79 |          0 |         39 |        118 |
| /Users/dgee/Documents/blog/blog/content/blog/2023/01/16-01-2023-career-direction-change/index.md                          | Markdown       |         57 |          0 |         18 |         75 |
| /Users/dgee/Documents/blog/blog/content/blog/2023/03/02-03-2023-git-signing/index.md                                      | Markdown       |        106 |          0 |         39 |        145 |
| /Users/dgee/Documents/blog/blog/content/blog/2023/08/21-08-2023-international-a2p-sms-hassle/index.md                     | Markdown       |         15 |          0 |          3 |         18 |
| /Users/dgee/Documents/blog/blog/content/blog/2023/09/28-09-2023-gpt-bard-bad-education/index.md                           | Markdown       |         20 |          0 |          9 |         29 |
| /Users/dgee/Documents/blog/blog/content/blog/2024/04/23-04-2024-ai-llm-bs/index.md                                        | Markdown       |         45 |          0 |         29 |         74 |
| /Users/dgee/Documents/blog/blog/content/blog/_index.en.md                                                                 | Markdown       |          5 |          0 |          1 |          6 |
| /Users/dgee/Documents/blog/blog/content/builtfm/_index.en.md                                                              | Markdown       |          6 |          0 |          1 |          7 |
| /Users/dgee/Documents/blog/blog/content/contact/_index.en.md                                                              | Markdown       |          6 |          0 |          1 |          7 |
| /Users/dgee/Documents/blog/blog/content/graphops/_index.en.md                                                             | Markdown       |          6 |          0 |          1 |          7 |
| /Users/dgee/Documents/blog/blog/content/list/_index.en.md                                                                 | Markdown       |          6 |          0 |          1 |          7 |
| /Users/dgee/Documents/blog/blog/content/portfolio/_index.en.md                                                            | Markdown       |          6 |          0 |          1 |          7 |
| /Users/dgee/Documents/blog/blog/data/en/builtfm.yml                                                                       | YAML           |         10 |          0 |          2 |         12 |
| /Users/dgee/Documents/blog/blog/data/en/graphops.yml                                                                      | YAML           |         12 |          0 |          3 |         15 |
| /Users/dgee/Documents/blog/blog/data/en/portfolio.yml                                                                     | YAML           |         40 |          0 |         11 |         51 |
| /Users/dgee/Documents/blog/blog/package-lock.json                                                                         | JSON           |      1,895 |          0 |          1 |      1,896 |
| /Users/dgee/Documents/blog/blog/package.json                                                                              | JSON           |          7 |          0 |          1 |          8 |
| /Users/dgee/Documents/blog/blog/runme.sh                                                                                  | Shell Script   |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/README.md                                                           | Markdown       |         59 |          0 |         25 |         84 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/archetypes/default.md                                               | Markdown       |          2 |          0 |          1 |          3 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/assets/css/style.css                                                | CSS            |      1,786 |         65 |        352 |      2,203 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/assets/js/script.js                                                 | JavaScript     |        269 |         71 |         64 |        404 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/404.html                                                    | HTML           |         14 |          0 |          3 |         17 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/_default/baseof.html                                        | HTML           |         12 |          0 |          1 |         13 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/_default/list.html                                          | HTML           |         51 |          0 |          5 |         56 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/_default/single.html                                        | HTML           |         40 |          8 |         12 |         60 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/builtfm/list.html                                           | HTML           |          4 |          0 |          3 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/contact/list.html                                           | HTML           |          4 |          0 |          3 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/graphops/list.html                                          | HTML           |          4 |          0 |          3 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/index.html                                                  | HTML           |          5 |          0 |          6 |         11 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/list/list.html                                              | HTML           |          4 |          0 |          3 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/about-sm.html                                      | HTML           |         20 |          0 |          0 |         20 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/about.html                                         | HTML           |         42 |          0 |          1 |         43 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/blog.html                                          | HTML           |         54 |          0 |          1 |         55 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/builtfm.html                                       | HTML           |         68 |          1 |          5 |         74 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/clients.html                                       | HTML           |         40 |          0 |          1 |         41 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/contact.html                                       | HTML           |        109 |          0 |          7 |        116 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/cta.html                                           | HTML           |         15 |          0 |          1 |         16 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/feature.html                                       | HTML           |         26 |          0 |          1 |         27 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/flags.html                                         | HTML           |          9 |          3 |          1 |         13 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/footer.html                                        | HTML           |         99 |          2 |          7 |        108 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/gohome.html                                        | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/graphops.html                                      | HTML           |         65 |          1 |          4 |         70 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/head.html                                          | HTML           |         56 |          0 |         15 |         71 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/header.html                                        | HTML           |         54 |          1 |          2 |         57 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/hero.html                                          | HTML           |         38 |          1 |          2 |         41 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/lists.html                                         | HTML           |         16 |          0 |          0 |         16 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/page-title.html                                    | HTML           |         18 |          0 |          0 |         18 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/philosophy.html                                    | HTML           |         51 |          0 |          1 |         52 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/portfolio.html                                     | HTML           |         54 |          1 |          1 |         56 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/preloader.html                                     | HTML           |         18 |          0 |          0 |         18 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/pricing.html                                       | HTML           |         46 |          2 |          1 |         49 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/search.html                                        | HTML           |         36 |          1 |          3 |         40 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/service.html                                       | HTML           |         35 |          0 |          1 |         36 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/team.html                                          | HTML           |         72 |          0 |          2 |         74 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/testimonial.html                                   | HTML           |         35 |          0 |          1 |         36 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/uijourney.html                                     | HTML           |         63 |          1 |          7 |         71 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/partials/workingprocess.html                                | HTML           |         50 |          0 |          1 |         51 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/portfolio/list.html                                         | HTML           |          6 |          0 |          5 |         11 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/service/list.html                                           | HTML           |          8 |          0 |          7 |         15 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/attribution.html                                 | HTML           |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/bio.html                                         | HTML           |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/blockquoteunderred.html                          | HTML           |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/blogheader.html                                  | HTML           |         20 |          0 |          2 |         22 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/colourred.html                                   | HTML           |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/dangerbox.html                                   | HTML           |          3 |          0 |          1 |          4 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/figure.html                                      | HTML           |          6 |          0 |          0 |          6 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img.html                                         | HTML           |          2 |          0 |          0 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img10.html                                       | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img20.html                                       | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img25.html                                       | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img35.html                                       | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img50.html                                       | HTML           |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img50center.html                                 | HTML           |         11 |          0 |          0 |         11 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img50centerlink.html                             | HTML           |         15 |          0 |          0 |         15 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/img75centerlink.html                             | HTML           |         15 |          0 |          0 |         15 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/infobox.html                                     | HTML           |          3 |          0 |          1 |          4 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/mermaid.html                                     | HTML           |         11 |          0 |          2 |         13 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/successbox.html                                  | HTML           |          3 |          0 |          1 |          4 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/shortcodes/warningbox.html                                  | HTML           |          3 |          0 |          1 |          4 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/layouts/uijourney/list.html                                         | HTML           |          4 |          0 |          4 |          8 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/bootstrap/dist/css/bootstrap.min.css                 | CSS            |          1 |          6 |          0 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/bootstrap/dist/js/bootstrap.min.js                   | JavaScript     |          1 |          6 |          0 |          7 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/bootstrap/dist/js/popper.min.js                      | JavaScript     |          1 |          4 |          1 |          6 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/filterzr/jquery.filterizr.min.js                     | JavaScript     |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/jquery/dist/jquery.js                                | JavaScript     |      6,378 |      1,612 |      1,825 |      9,815 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/jquery/dist/jquery.min.js                            | JavaScript     |          3 |          1 |          1 |          5 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/jquery/jquery-1.12.4.js                              | JavaScript     |      7,078 |      1,857 |      2,073 |     11,008 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/jquery/jquery-ui.js                                  | JavaScript     |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/css/lightbox.css                      | CSS            |        181 |          4 |         29 |        214 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/css/lightbox.min.css                  | CSS            |          1 |          0 |          0 |          1 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/js/lightbox-plus-jquery.js            | JavaScript     |      6,536 |      1,566 |      1,618 |      9,720 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/js/lightbox-plus-jquery.min.js        | JavaScript     |          5 |         33 |          0 |         38 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/js/lightbox.js                        | JavaScript     |        365 |         75 |         69 |        509 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/lightbox2/dist/js/lightbox.min.js                    | JavaScript     |          1 |         12 |          0 |         13 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/match-height/jquery.matchHeight-min.js               | JavaScript     |          7 |          5 |          0 |         12 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/parallax/jquery.parallax-1.1.3.js                    | JavaScript     |         42 |         16 |         12 |         70 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/config.rb                       | Ruby           |          8 |          0 |          2 |         10 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/fonts/slick.svg                 | XML            |         13 |          0 |          2 |         15 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/slick-theme.css                 | CSS            |        170 |          4 |         31 |        205 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/slick.css                       | CSS            |        104 |          1 |         15 |        120 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/slick.js                        | JavaScript     |      2,119 |         47 |        846 |      3,012 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/slick-carousel/slick/slick.min.js                    | JavaScript     |          1 |          0 |          1 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/smooth-scroll/dist/js/smooth-scroll.js               | JavaScript     |        277 |        187 |        112 |        576 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/smooth-scroll/dist/js/smooth-scroll.min.js           | JavaScript     |          1 |          1 |          0 |          2 |
| /Users/dgee/Documents/blog/blog/themes/navigator-hugo/static/plugins/themefisher-font/style.css                           | CSS            |      2,511 |          2 |          5 |      2,518 |
| Total                                                                                                                     |                |     42,565 |      5,602 |     12,005 |     60,172 |
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
